timestamp,sf,condition,block,rep_in_block,qps,wall_qps,total_time_s,wall_time_s,num_queries,errors,advisor_calls,trigger_rate,time_phase_A_s,time_phase_B_s,time_phase_Arep_s,time_phase_C_s
2026-04-15T02:51:38.649713,1.0,always_on,1,1,3.9032,0.7901,30.7443,151.8772,120,0,24,1.0,7.4746,13.5273,7.4871,1.0552
2026-04-15T02:52:24.232876,1.0,baseline,1,2,4.0838,4.0837,29.3844,29.3849,120,0,0,0.0,7.3651,13.5659,7.3764,1.0771
2026-04-15T02:53:45.206848,1.0,periodic,1,3,4.0187,1.8913,29.8607,63.4494,120,0,8,0.3333,7.4546,13.4933,7.4847,1.0281
2026-04-15T02:54:51.487313,1.0,hsm_gated,1,4,4.0173,2.3946,29.8705,50.113,120,0,5,0.2083,7.3678,13.6244,7.6023,1.026
2026-04-15T02:55:56.938404,1.0,hsm_gated,2,1,4.0308,2.3561,29.7705,50.9314,120,0,5,0.2083,7.3233,13.5977,7.5106,1.0889
2026-04-15T02:56:42.544029,1.0,baseline,2,2,4.1285,4.1284,29.0665,29.067,120,0,0,0.0,7.3654,13.2731,7.3595,1.0684
2026-04-15T02:59:25.231425,1.0,always_on,2,3,3.9444,0.8259,30.4229,145.3034,120,0,24,1.0,7.3416,13.4613,7.3514,1.0685
2026-04-15T03:00:47.283014,1.0,periodic,2,4,4.0497,1.807,29.632,66.4101,120,0,8,0.3333,7.3536,13.414,7.4054,1.0591
2026-04-15T03:02:20.340993,1.0,periodic,3,1,4.0105,1.5187,29.9218,79.0127,120,0,8,0.3333,7.3814,13.5579,7.5584,1.0241
2026-04-15T03:05:11.810998,1.0,always_on,3,2,3.9126,0.7722,30.67,155.3924,120,0,24,1.0,7.4477,13.516,7.4507,1.0555
2026-04-15T03:06:16.604349,1.0,hsm_gated,3,3,4.0471,2.4418,29.6507,49.1442,120,0,3,0.125,7.4023,13.5239,7.5438,1.0307
2026-04-15T03:07:03.205966,1.0,baseline,3,4,4.0802,4.0802,29.4102,29.4107,120,0,0,0.0,7.5165,13.3866,7.4225,1.0846
2026-04-15T03:08:09.945801,1.0,hsm_gated,4,1,3.9818,2.3388,30.1373,51.3078,120,0,7,0.2917,7.4083,13.4064,7.8961,1.0766
2026-04-15T03:08:56.721784,1.0,baseline,4,2,3.9467,3.9466,30.4053,30.4058,120,0,0,0.0,7.8144,13.5418,7.9651,1.084
2026-04-15T03:11:51.996461,1.0,always_on,4,3,3.8925,0.7613,30.8286,157.6328,120,0,24,1.0,7.4449,13.6688,7.479,1.0359
2026-04-15T03:13:20.804903,1.0,periodic,4,4,4.0191,1.6387,29.8572,73.227,120,0,8,0.3333,7.4887,13.4913,7.4741,1.003
2026-04-15T03:16:00.079491,1.0,always_on,5,1,3.9094,0.8253,30.6949,145.4054,120,0,24,1.0,7.4989,13.5344,7.408,1.0535
2026-04-15T03:16:45.423273,1.0,baseline,5,2,4.1309,4.1308,29.0494,29.0499,120,0,0,0.0,7.3901,13.2619,7.2925,1.105
2026-04-15T03:17:52.008084,1.0,hsm_gated,5,3,4.0276,2.438,29.7942,49.2206,120,0,3,0.125,7.4227,13.6761,7.5249,1.0205
2026-04-15T03:19:22.126109,1.0,periodic,5,4,4.0132,1.6395,29.9013,73.1929,120,0,8,0.3333,7.4352,13.6475,7.4124,1.0063
2026-04-15T03:20:05.592360,1.0,baseline,6,1,4.128,4.1279,29.0698,29.0703,120,0,0,0.0,7.4549,13.2027,7.3156,1.0967
2026-04-15T03:21:32.781284,1.0,periodic,6,2,4.031,1.7248,29.7696,69.5732,120,0,8,0.3333,7.3184,13.5293,7.5148,1.0071
2026-04-15T03:22:35.525452,1.0,hsm_gated,6,3,4.0149,2.5771,29.8885,46.5635,120,0,5,0.2083,7.4802,13.7069,7.4393,1.0122
2026-04-15T03:25:13.972629,1.0,always_on,6,4,3.9222,0.8482,30.5948,141.4841,120,0,24,1.0,7.3493,13.6469,7.3667,1.0319
2026-04-15T03:26:19.657555,1.0,hsm_gated,7,1,4.0462,2.3136,29.6572,51.8664,120,0,7,0.2917,7.4388,13.447,7.3652,1.0563
2026-04-15T03:29:10.430232,1.0,always_on,7,2,3.9545,0.7779,30.3453,154.2617,120,0,24,1.0,7.3997,13.3196,7.3779,1.0481
2026-04-15T03:30:43.856245,1.0,periodic,7,3,3.9987,1.5451,30.0095,77.6646,120,0,8,0.3333,7.4282,13.6053,7.5066,1.0694
2026-04-15T03:31:28.914674,1.0,baseline,7,4,4.1318,4.1318,29.0427,29.0432,120,0,0,0.0,7.3444,13.3004,7.3246,1.0733
2026-04-15T03:32:28.172180,1.0,hsm_gated,8,1,4.0737,2.7403,29.4576,43.7914,120,0,3,0.125,7.4595,13.3601,7.4766,1.0113
2026-04-15T03:33:46.011024,1.0,periodic,8,2,4.0541,1.976,29.6,60.7292,120,0,8,0.3333,7.442,13.206,7.5326,1.0194
2026-04-15T03:34:31.578896,1.0,baseline,8,3,4.0917,4.0916,29.3278,29.3283,120,0,0,0.0,7.4138,13.3946,7.4404,1.0789
2026-04-15T03:37:09.569590,1.0,always_on,8,4,3.9124,0.856,30.6715,140.1809,120,0,24,1.0,7.4575,13.4674,7.4995,1.0471
2026-04-15T03:37:52.434353,1.0,baseline,9,1,4.1028,4.1027,29.2482,29.2487,120,0,0,0.0,7.4875,13.3414,7.3209,1.0985
2026-04-15T03:40:36.133090,1.0,always_on,9,2,3.9198,0.827,30.6138,145.1112,120,0,24,1.0,7.5085,13.4395,7.4243,1.0415
2026-04-15T03:41:37.637298,1.0,hsm_gated,9,3,4.0618,2.6336,29.5437,45.5657,120,0,5,0.2083,7.4143,13.4502,7.3826,1.0466
2026-04-15T03:43:10.376940,1.0,periodic,9,4,4.0154,1.603,29.8847,74.86,120,0,8,0.3333,7.5417,13.5125,7.415,1.0154
2026-04-15T03:43:53.863779,1.0,baseline,10,1,4.1619,4.1618,28.8329,28.8334,120,0,0,0.0,7.3878,13.0327,7.3342,1.0781
2026-04-15T03:45:23.976766,1.0,periodic,10,2,4.0589,1.6526,29.5647,72.6121,120,0,8,0.3333,7.5027,13.2196,7.4257,1.0167
2026-04-15T03:47:59.110890,1.0,always_on,10,3,3.8993,0.863,30.775,139.0565,120,0,24,1.0,7.5125,13.5266,7.4835,1.0523
2026-04-15T03:49:00.307103,1.0,hsm_gated,10,4,4.061,2.6322,29.5495,45.5887,120,0,3,0.125,7.5079,13.3514,7.4794,1.0609
