workload,group,score
tpch,within,0.878223
tpch,within,0.762176
tpch,within,0.717348
tpch,within,0.801818
tpch,within,0.735935
tpch,within,0.834007
tpch,within,0.763254
tpch,within,0.681746
tpch,within,0.739070
tpch,within,0.753753
tpch,within,0.766432
tpch,within,0.704133
tpch,within,0.634052
tpch,within,0.800212
tpch,within,0.760632
tpch,within,0.785698
tpch,within,0.766745
tpch,within,0.730717
tpch,within,0.633476
tpch,within,0.816993
tpch,within,0.753232
tpch,within,0.730757
tpch,within,0.728097
tpch,within,0.698207
tpch,within,0.830274
tpch,within,0.731166
tpch,within,0.696609
tpch,within,0.638223
tpch,within,0.779445
tpch,within,0.700510
tpch,within,0.578132
tpch,within,0.877117
tpch,within,0.666851
tpch,within,0.721043
tpch,within,0.816177
tpch,within,0.739119
tpch,within,0.718009
tpch,within,0.781655
tpch,within,0.774673
tpch,within,0.768274
tpch,within,0.790341
tpch,within,0.718202
tpch,within,0.788308
tpch,within,0.758374
tpch,within,0.750874
tpch,within,0.847173
tpch,within,0.848918
tpch,within,0.798867
tpch,within,0.707978
tpch,within,0.867983
tpch,within,0.745291
tpch,within,0.694017
tpch,within,0.808444
tpch,within,0.727867
tpch,within,0.746694
tpch,within,0.749025
tpch,cross,0.739123
tpch,cross,0.708442
tpch,cross,0.750639
tpch,cross,0.767132
tpch,cross,0.783538
tpch,cross,0.791060
tpch,cross,0.751663
tpch,cross,0.670298
tpch,cross,0.687302
tpch,cross,0.750109
tpch,cross,0.821955
tpch,cross,0.812726
tpch,cross,0.801184
tpch,cross,0.696721
tpch,cross,0.670202
tpch,cross,0.660825
tpch,cross,0.703270
tpch,cross,0.756606
tpch,cross,0.698669
tpch,cross,0.732406
tpch,cross,0.725185
tpch,cross,0.752675
tpch,cross,0.816746
tpch,cross,0.784864
tpch,cross,0.679716
tpch,cross,0.686929
tpch,cross,0.742882
tpch,cross,0.826095
tpch,cross,0.803495
tpch,cross,0.817412
tpch,cross,0.722072
tpch,cross,0.673171
tpch,cross,0.668228
tpch,cross,0.717237
tpch,cross,0.752262
tpch,cross,0.711823
tpch,cross,0.720049
tpch,cross,0.705862
tpch,cross,0.706011
tpch,cross,0.732705
tpch,cross,0.735954
tpch,cross,0.730889
tpch,cross,0.706016
tpch,cross,0.776829
tpch,cross,0.774522
tpch,cross,0.733081
tpch,cross,0.773534
tpch,cross,0.738995
tpch,cross,0.701177
tpch,cross,0.729568
tpch,cross,0.751388
tpch,cross,0.789052
tpch,cross,0.648250
tpch,cross,0.630011
tpch,cross,0.681394
tpch,cross,0.661741
tpch,cross,0.701025
tpch,cross,0.688694
tpch,cross,0.699533
tpch,cross,0.771466
tpch,cross,0.812438
tpch,cross,0.761315
tpch,cross,0.685873
tpch,cross,0.767924
tpch,cross,0.784631
tpch,cross,0.758017
tpch,cross,0.750315
tpch,cross,0.780856
tpch,cross,0.686585
tpch,cross,0.738992
tpch,cross,0.763697
tpch,cross,0.671521
tpch,cross,0.713430
tpch,cross,0.693948
tpch,cross,0.655928
tpch,cross,0.658133
tpch,cross,0.739703
tpch,cross,0.579331
tpch,cross,0.691744
tpch,cross,0.704205
tpch,cross,0.627607
tpch,cross,0.644089
tpch,cross,0.589081
tpch,cross,0.524812
tpch,cross,0.571594
tpch,cross,0.665534
tpch,cross,0.609437
tpch,cross,0.690918
tpch,cross,0.734347
tpch,cross,0.707855
tpch,cross,0.691997
tpch,cross,0.623565
tpch,cross,0.558378
tpch,cross,0.591518
tpch,cross,0.650475
tpch,cross,0.639910
tpch,cross,0.685718
tpch,cross,0.753835
tpch,cross,0.718509
tpch,cross,0.708004
tpch,cross,0.645332
tpch,cross,0.611488
tpch,cross,0.584567
tpch,cross,0.665150
tpch,cross,0.582348
tpch,cross,0.636758
tpch,cross,0.712320
tpch,cross,0.672362
tpch,cross,0.659758
tpch,cross,0.590917
tpch,cross,0.554219
tpch,cross,0.552891
tpch,cross,0.659625
tpch,cross,0.627038
tpch,cross,0.717369
tpch,cross,0.788680
tpch,cross,0.702594
tpch,cross,0.724234
tpch,cross,0.666889
tpch,cross,0.595328
tpch,cross,0.602091
tpch,cross,0.701575
tpch,cross,0.635287
tpch,cross,0.723947
tpch,cross,0.808518
tpch,cross,0.717726
tpch,cross,0.742030
tpch,cross,0.687274
tpch,cross,0.593519
tpch,cross,0.605109
tpch,cross,0.679114
tpch,cross,0.774710
tpch,cross,0.759422
tpch,cross,0.764823
tpch,cross,0.735139
tpch,cross,0.791772
tpch,cross,0.756544
tpch,cross,0.634696
tpch,cross,0.664965
tpch,cross,0.682065
tpch,cross,0.738447
tpch,cross,0.721999
tpch,cross,0.776183
tpch,cross,0.750078
tpch,cross,0.670655
tpch,cross,0.732164
tpch,cross,0.639522
tpch,cross,0.667323
tpch,cross,0.689391
tpch,cross,0.721914
tpch,cross,0.698962
tpch,cross,0.757691
tpch,cross,0.856018
tpch,cross,0.690160
sdss,within,0.758652
