z,delta,n_within,n_cross,theta_star,J_star,AUC,precision_0826,recall_0826
0.0,0.0,12510,60,0.892,0.6667,0.8333,1.0,0.5
0.0,0.025,12510,60,0.8995,0.6667,0.8333,1.0,0.5
0.0,0.05,12510,60,0.898,0.6667,0.8519,1.0,0.5
0.0,0.075,12510,60,0.8945,0.7222,0.9074,1.0,0.5
0.0,0.1,12510,60,0.9205,0.6667,0.8333,1.0,0.5
0.2,0.0,12510,60,0.8835,0.6667,0.8341,1.0,0.5
0.2,0.025,12510,60,0.888,0.6667,0.8374,1.0,0.5
0.2,0.05,12510,60,0.8955,0.6667,0.8356,1.0,0.5
0.2,0.075,12510,60,0.9005,0.6667,0.8427,0.0192,0.5
0.2,0.1,12510,60,0.8985,0.7458,0.916,0.0211,0.5
0.4,0.0,12510,60,0.8815,0.6667,0.8344,1.0,0.5
0.4,0.025,12510,60,0.884,0.6667,0.8402,1.0,0.5
0.4,0.05,12510,60,0.8955,0.6667,0.8515,1.0,0.5
0.4,0.075,12510,60,0.897,0.6667,0.8495,0.6,0.5
0.4,0.1,12510,60,0.9195,0.6667,0.8525,0.0156,0.5
0.6,0.0,12510,60,0.883,0.6667,0.8337,1.0,0.5
0.6,0.025,12510,60,0.8915,0.6667,0.8333,1.0,0.5
0.6,0.05,12510,60,0.885,0.6667,0.8367,1.0,0.5
0.6,0.075,12510,60,0.9075,0.6667,0.835,0.0155,0.5
0.6,0.1,12510,60,0.904,0.6667,0.8744,0.0471,0.5
0.8,0.0,12510,60,0.8815,0.6667,0.8343,1.0,0.5
0.8,0.025,12510,60,0.8835,0.6667,0.8544,1.0,0.5
0.8,0.05,12510,60,0.8825,0.6679,0.8672,0.0719,0.5
0.8,0.075,12510,60,0.897,0.6823,0.8719,0.1345,0.5
0.8,0.1,12510,60,0.886,0.7359,0.9335,1.0,0.5
