score,group
0.700000,within
0.544167,within
0.550000,within
0.550000,within
0.533851,within
0.550000,within
0.472273,within
0.457601,within
0.443851,within
0.694167,within
0.550000,within
0.550000,within
0.533851,within
0.550000,within
0.472273,within
0.457601,within
0.443851,within
0.694167,within
0.544167,within
0.531149,within
0.544167,within
0.468662,within
0.459621,within
0.442740,within
0.700000,within
0.533851,within
0.550000,within
0.472273,within
0.457601,within
0.443851,within
0.683851,within
0.550000,within
0.472273,within
0.457601,within
0.443851,within
0.683851,within
0.460000,within
0.462361,within
0.433763,within
0.622273,within
0.457601,within
0.443851,within
0.673194,within
0.457888,within
0.602711,within
0.639141,within
0.539141,within
0.492184,within
0.527513,within
0.522449,within
0.498030,within
0.512500,within
0.426288,within
0.498030,within
0.539141,within
0.427121,within
0.650000,within
0.445871,within
0.474609,within
0.475177,within
0.456667,within
0.451641,within
0.464419,within
0.456667,within
0.500000,within
0.471086,within
0.645871,within
0.524609,within
0.525177,within
0.506667,within
0.501641,within
0.431086,within
0.506667,within
0.550000,within
0.437753,within
0.642601,within
0.490859,within
0.529760,within
0.529684,within
0.387449,within
0.454760,within
0.495871,within
0.450905,within
0.683649,within
0.488497,within
0.490013,within
0.423990,within
0.488497,within
0.524609,within
0.415972,within
0.639697,within
0.484949,within
0.429482,within
0.489697,within
0.525177,within
0.423927,within
0.685530,within
0.392197,within
0.475000,within
0.506667,within
0.456638,within
0.538788,within
0.460530,within
0.501641,within
0.450931,within
0.603506,within
0.431086,within
0.389684,within
0.656667,within
0.395328,within
0.587753,within
0.675038,within
0.479717,within
0.532551,within
0.451006,within
0.445350,within
0.458746,within
0.367112,within
0.632217,within
0.533851,within
0.454756,within
0.460640,within
0.445047,within
0.368324,within
0.629149,within
0.420357,within
0.411923,within
0.402958,within
0.397929,within
0.598557,within
0.451537,within
0.453065,within
0.366254,within
0.683308,within
0.528220,within
0.384318,within
0.670770,within
0.387929,within
0.529583,within
0.590871,within
0.458308,within
0.431692,within
0.427399,within
0.500720,within
0.431061,within
0.420240,within
0.660543,within
0.528561,within
0.519722,within
0.455808,within
0.517790,within
0.510429,within
0.657033,within
0.501894,within
0.427058,within
0.511553,within
0.495581,within
0.674583,within
0.448295,within
0.516199,within
0.518220,within
0.595354,within
0.520013,within
0.522879,within
0.600379,within
0.443952,within
0.673826,within
0.489141,cross
0.550000,cross
0.500000,cross
0.445871,cross
0.474609,cross
0.475177,cross
0.456667,cross
0.451641,cross
0.464419,cross
0.456667,cross
0.500000,cross
0.471086,cross
0.439836,cross
0.442336,cross
0.425000,cross
0.439268,cross
0.477500,cross
0.469066,cross
0.460101,cross
0.381263,cross
0.382260,cross
0.449747,cross
0.439066,cross
0.464003,cross
0.458548,cross
0.405379,cross
0.455366,cross
0.463939,cross
0.489141,cross
0.550000,cross
0.500000,cross
0.445871,cross
0.474609,cross
0.475177,cross
0.456667,cross
