sf,config,qps_raw,qps_norm,ci_low_norm,ci_high_norm,n
0.2,no_advise,23.1898,1.0,1.0,1.0,10
0.2,periodic,10.0301,0.4323,0.4154,0.4499,10
0.2,always_on,4.8099,0.2074,0.2034,0.2109,10
0.2,HSM_gated,14.3578,0.6193,0.5964,0.6416,10
1.0,no_advise,4.0986,1.0,1.0,1.0,10
1.0,periodic,1.6997,0.4148,0.3952,0.4374,10
1.0,always_on,0.8147,0.1987,0.1944,0.2032,10
1.0,HSM_gated,2.4866,0.6067,0.5872,0.6285,10
3.0,no_advise,1.0588,1.0,1.0,1.0,10
3.0,periodic,0.481,0.4544,0.4304,0.4806,10
3.0,always_on,0.2466,0.2329,0.2264,0.2393,10
3.0,HSM_gated,0.6681,0.6311,0.603,0.6631,10
